frame,id,raw_x,raw_y,comp_x,comp_y,dx,dy,dist
1,1,1050,649,1040,649,10,0,10.00
1,2,1264,744,1255,744,9,0,9.00
1,3,876,825,865,826,11,-1,11.05
1,4,1156,652,1146,652,10,0,10.00
1,5,336,711,321,712,15,-1,15.03
1,6,513,512,499,511,14,1,14.04
1,7,567,674,553,674,14,0,14.00
1,8,1365,871,1357,872,8,-1,8.06
1,9,1459,614,1451,614,8,0,8.00
1,10,1495,632,1488,632,7,0,7.00
1,11,651,520,638,519,13,1,13.04
1,12,1043,473,1032,472,11,1,11.05
2,1,1057,649,1036,650,21,-1,21.02
2,2,1274,743,1256,745,18,-2,18.11
2,3,883,823,860,826,23,-3,23.19
2,4,1162,649,1142,650,20,-1,20.02
2,5,345,709,314,711,31,-2,31.06
2,6,523,510,494,510,29,0,29.00
2,7,573,673,545,675,28,-2,28.07
2,8,1372,869,1355,872,17,-3,17.26
2,9,1466,613,1450,613,16,0,16.00
2,10,1498,632,1482,632,16,0,16.00
2,11,658,519,631,519,27,0,27.00
2,12,1049,474,1027,473,22,1,22.02
2,13,1160,504,1140,503,20,1,20.02
2,14,1567,539,1552,538,15,1,15.03
3,1,1062,648,1031,649,31,-1,31.02
3,2,1282,740,1256,743,26,-3,26.17
3,3,889,821,855,826,34,-5,34.37
3,4,1166,648,1137,649,29,-1,29.02
3,5,355,705,311,709,44,-4,44.18
3,6,533,509,491,509,42,0,42.00
3,7,579,669,539,672,40,-3,40.11
3,8,1378,867,1354,872,24,-5,24.52
3,9,1471,612,1448,612,23,0,23.00
3,10,1501,632,1479,632,22,0,22.00
3,11,666,518,627,518,39,0,39.00
3,12,1054,475,1022,473,32,2,32.06
3,13,1164,503,1135,501,29,2,29.07
3,14,1568,538,1547,536,21,2,21.10
4,1,1066,648,1024,650,42,-2,42.05
4,2,1292,738,1256,742,36,-4,36.22
4,3,899,820,854,827,45,-7,45.54
4,4,1171,648,1132,650,39,-2,39.05
4,5,367,701,308,706,59,-5,59.21
4,6,543,508,487,508,56,0,56.00
4,7,586,667,532,670,54,-3,54.08
4,8,1387,866,1354,873,33,-7,33.73
4,9,1477,613,1445,613,32,0,32.00
4,10,1506,631,1475,631,31,0,31.00
4,11,675,518,623,518,52,0,52.00
4,12,1058,475,1015,473,43,2,43.05
4,13,1167,501,1127,499,40,2,40.05
4,14,1571,539,1541,537,30,2,30.07
5,1,1073,646,1021,648,52,-2,52.04
5,2,1301,736,1257,740,44,-4,44.18
5,3,909,818,852,826,57,-8,57.56
5,4,1176,647,1127,649,49,-2,49.04
5,5,379,695,304,700,75,-5,75.17
5,6,554,508,484,507,70,1,70.01
5,7,593,664,525,668,68,-4,68.12
5,8,1392,864,1351,872,41,-8,41.77
5,9,1483,613,1444,613,39,0,39.00
5,10,1510,628,1472,628,38,0,38.00
5,11,683,518,617,517,66,1,66.01
5,12,1063,475,1009,472,54,3,54.08
5,13,1170,500,1120,497,50,3,50.09
5,14,1574,540,1537,538,37,2,37.05
6,1,1080,644,1018,647,62,-3,62.07
6,2,1311,732,1258,737,53,-5,53.24
6,3,918,816,850,826,68,-10,68.73
6,4,1180,646,1122,648,58,-2,58.03
6,5,391,688,302,695,89,-7,89.27
6,6,563,507,479,506,84,1,84.01
6,7,596,660,515,665,81,-5,81.15
6,8,1399,861,1351,871,48,-10,49.03
6,9,1490,612,1443,612,47,0,47.00
6,10,1515,627,1470,628,45,-1,45.01
6,11,690,518,611,517,79,1,79.01
6,12,1070,475,1006,471,64,4,64.12
6,13,1175,502,1115,499,60,3,60.07
6,14,1578,540,1534,537,44,3,44.10
7,1,1086,641,1014,644,72,-3,72.06
7,2,1320,731,1259,737,61,-6,61.29
7,3,926,814,848,825,78,-11,78.77
7,4,1183,644,1115,647,68,-3,68.07
7,5,404,683,301,691,103,-8,103.31
7,6,572,507,475,506,97,1,97.01
7,7,598,659,504,665,94,-6,94.19
7,8,1405,860,1349,871,56,-11,57.07
7,9,1496,612,1442,612,54,0,54.00
7,10,1519,625,1466,626,53,-1,53.01
7,11,698,516,607,515,91,1,91.01
7,12,1078,473,1004,469,74,4,74.11
7,13,1178,503,1109,500,69,3,69.07
7,14,1580,541,1529,538,51,3,51.09
8,1,1093,638,1010,642,83,-4,83.10
8,2,1329,731,1259,738,70,-7,70.35
8,3,934,812,845,825,89,-13,89.94
8,4,1187,644,1109,648,78,-4,78.10
8,5,415,679,298,688,117,-9,117.35
8,6,582,505,472,505,110,0,110.00
8,7,599,658,491,665,108,-7,108.23
8,8,1412,859,1348,872,64,-13,65.31
8,9,1501,610,1439,610,62,0,62.00
8,10,1523,622,1462,623,61,-1,61.01
8,11,706,515,602,514,104,1,104.00
8,12,1084,473,999,469,85,4,85.09
8,13,1182,504,1103,501,79,3,79.06
8,14,1584,542,1526,539,58,3,58.08
9,1,1098,637,1006,641,92,-4,92.09
9,2,1338,729,1261,737,77,-8,77.41
9,3,941,809,842,824,99,-15,100.13
9,4,1193,641,1107,645,86,-4,86.09
9,5,426,678,295,688,131,-10,131.38
9,6,591,504,468,504,123,0,123.00
9,7,609,658,489,666,120,-8,120.27
9,8,1416,856,1345,871,71,-15,72.57
9,9,1506,611,1438,612,68,-1,68.01
9,10,1527,621,1460,622,67,-1,67.01
9,11,714,514,598,514,116,0,116.00
9,12,1089,474,995,469,94,5,94.13
9,13,1185,504,1097,501,88,3,88.05
9,14,1586,542,1522,539,64,3,64.07
10,1,1103,636,1002,641,101,-5,101.12
10,2,1346,727,1262,736,84,-9,84.48
10,3,947,807,838,824,109,-17,110.32
10,4,1198,639,1103,644,95,-5,95.13
10,5,435,676,291,687,144,-11,144.42
10,6,601,503,465,503,136,0,136.00
10,7,616,656,483,665,133,-9,133.30
10,8,1420,854,1342,871,78,-17,79.83
10,9,1512,612,1437,613,75,-1,75.01
10,10,1525,618,1451,620,74,-2,74.03
10,11,721,513,593,513,128,0,128.00
10,12,1094,474,990,469,104,5,104.12
10,13,1190,503,1093,499,97,4,97.08
10,14,1587,542,1517,538,70,4,70.11
11,1,1109,634,999,640,110,-6,110.16
11,2,1355,725,1264,736,91,-11,91.66
11,3,954,806,835,825,119,-19,120.51
11,4,1203,637,1100,642,103,-5,103.12
11,5,444,673,285,686,159,-13,159.53
11,6,610,502,461,501,149,1,149.00
11,7,621,653,475,663,146,-10,146.34
11,8,1424,853,1340,872,84,-19,86.12
11,9,1518,613,1438,615,80,-2,80.02
11,10,1526,616,1447,618,79,-2,79.03
11,11,728,513,588,512,140,1,140.00
11,12,1099,476,986,471,113,5,113.11
11,13,1195,502,1090,498,105,4,105.08
11,14,1589,540,1513,536,76,4,76.11
12,1,1113,633,994,639,119,-6,119.15
12,2,1363,724,1266,736,97,-12,97.74
12,3,961,803,832,823,129,-20,130.54
12,4,1207,636,1096,642,111,-6,111.16
12,5,453,671,281,685,172,-14,172.57
12,6,619,502,458,501,161,1,161.00
12,7,626,649,468,660,158,-11,158.38
12,8,1430,852,1340,873,90,-21,92.42
12,9,1523,611,1437,613,86,-2,86.02
12,10,1527,614,1441,616,86,-2,86.02
12,11,735,513,584,513,151,0,151.00
12,12,1103,476,981,470,122,6,122.15
12,13,1199,501,1085,497,114,4,114.07
12,14,1592,539,1510,535,82,4,82.10
13,1,1118,632,990,639,128,-7,128.19
13,2,1371,724,1267,737,104,-13,104.81
13,3,967,801,829,823,138,-22,139.74
13,4,1212,634,1092,640,120,-6,120.15
13,5,459,668,274,683,185,-15,185.61
13,6,627,502,454,501,173,1,173.00
13,7,631,646,461,657,170,-11,170.36
13,8,1436,851,1340,874,96,-23,98.72
13,9,1527,610,1435,612,92,-2,92.02
13,10,1530,612,1438,614,92,-2,92.02
13,11,741,513,578,513,163,0,163.00
13,12,1107,476,976,470,131,6,131.14
13,13,1202,501,1079,496,123,5,123.10
13,14,1594,539,1506,535,88,4,88.09
13,16,763,865,608,894,155,-29,157.69
14,1,1123,631,986,638,137,-7,137.18
14,2,1379,722,1268,736,111,-14,111.88
14,3,972,799,824,823,148,-24,149.93
14,4,1216,633,1088,640,128,-7,128.19
14,5,469,665,271,681,198,-16,198.65
14,6,636,502,451,501,185,1,185.00
14,7,636,644,453,656,183,-12,183.39
14,8,1441,849,1338,874,103,-25,105.99
14,10,1534,611,1436,614,98,-3,98.05
14,11,748,511,574,510,174,1,174.00
14,12,1111,475,970,468,141,7,141.17
14,13,1205,500,1074,495,131,5,131.10
14,14,1595,538,1502,533,93,5,93.13
14,16,772,864,606,895,166,-31,168.87
15,1,1128,629,983,637,145,-8,145.22
15,2,1387,721,1270,736,117,-15,117.96
15,3,978,798,821,824,157,-26,159.14
15,4,1219,632,1084,639,135,-7,135.18
15,5,477,661,267,677,210,-16,210.61
15,6,644,502,448,501,196,1,196.00
15,7,639,640,445,653,194,-13,194.44
15,8,1447,847,1339,874,108,-27,111.32
15,10,1538,611,1435,614,103,-3,103.04
15,11,755,510,570,509,185,1,185.00
15,12,1113,474,964,467,149,7,149.16
15,13,1208,500,1069,495,139,5,139.09
15,14,1597,538,1498,533,99,5,99.13
15,16,779,862,603,895,176,-33,179.07
16,1,1132,627,980,635,152,-8,152.21
16,2,1394,721,1272,737,122,-16,123.04
16,3,983,796,818,823,165,-27,167.19
16,4,1221,632,1078,640,143,-8,143.22
16,5,486,659,264,676,222,-17,222.65
16,6,650,502,443,501,207,1,207.00
16,7,643,639,438,653,205,-14,205.48
16,8,1453,847,1340,875,113,-28,116.42
16,10,1542,609,1434,612,108,-3,108.04
16,11,761,509,566,508,195,1,195.00
16,12,1117,474,960,466,157,8,157.20
16,13,1210,500,1063,494,147,6,147.12
16,14,1597,537,1493,532,104,5,104.12
16,16,787,858,602,893,185,-35,188.28
17,1,1137,626,977,634,160,-8,160.20
17,2,1401,719,1273,735,128,-16,129.00
17,3,989,795,816,823,173,-28,175.25
17,4,1224,631,1074,639,150,-8,150.21
17,5,492,656,261,673,231,-17,231.62
17,6,655,502,439,501,216,1,216.00
17,7,645,638,430,652,215,-14,215.46
17,8,1458,846,1339,875,119,-29,122.48
17,10,1545,607,1431,610,114,-3,114.04
17,11,766,508,562,507,204,1,204.00
17,12,1121,474,956,466,165,8,165.19
17,13,1211,501,1057,495,154,6,154.12
17,14,1598,538,1488,533,110,5,110.11
17,16,796,857,603,893,193,-36,196.33
18,1,1141,624,974,632,167,-8,167.19
18,2,1408,719,1273,735,135,-16,135.94
18,3,994,794,814,822,180,-28,182.16
18,4,1227,630,1070,638,157,-8,157.20
18,5,496,655,257,673,239,-18,239.68
18,6,660,501,436,501,224,0,224.00
18,7,648,638,426,652,222,-14,222.44
18,8,1465,846,1340,875,125,-29,128.32
18,10,1550,605,1429,607,121,-2,121.02
18,11,769,507,557,506,212,1,212.00
18,12,1125,474,953,466,172,8,172.19
18,13,1214,500,1052,494,162,6,162.11
18,14,1601,538,1484,533,117,5,117.11
18,16,801,856,601,892,200,-36,203.21
19,1,1145,623,971,631,174,-8,174.18
19,2,1417,718,1276,734,141,-16,141.90
19,3,1000,794,814,822,186,-28,188.10
19,4,1233,628,1069,636,164,-8,164.20
19,5,500,654,254,672,246,-18,246.66
19,6,665,500,434,500,231,0,231.00
19,7,650,638,420,653,230,-15,230.49
19,8,1472,845,1340,874,132,-29,135.15
19,10,1556,604,1428,606,128,-2,128.02
19,11,774,506,555,505,219,1,219.00
19,12,1130,473,951,465,179,8,179.18
19,13,1218,499,1049,493,169,6,169.11
19,14,1605,538,1481,533,124,5,124.10
19,16,808,856,602,893,206,-37,209.30
19,17,155,498,-133,503,288,-5,288.04
20,1,1149,623,968,631,181,-8,181.18
20,2,1424,717,1277,733,147,-16,147.87
20,3,1004,793,811,821,193,-28,195.02
